ID,Label,Farm,DOC,Type,Month,Year,Date,Conductivity (µs),Ammonium (NH4) ,NH4-N (mg/L),Nitrate (NO3),NO3-N (mg/L), Nitrite (NO2),NO2-N (mg/L), Phosphate (mg/L),Sodium (mg/L) ,Chloride (mg/L),Calcium (mg/L),DOC (mg/L),TOC (mg/L),TC (F),TC (UF),IC (F),IC (UF),TN (F),TN (UF),Particle size (µm),Absorbance (254 nm)
37,Blå C 24/9,Karlskoga,24/09/24,Tank,September ,2024,Sep-24,171.0000,0.0445,0.6230,0.0260,0.3640,n.a.,0.0000,n.a.,0.2186,0.2638,0.3121,3.5950,1.3090,23.1800,21.4800,19.5800,20.1700,0.2459,0.2446,10.6584,0.0325
38,10/10 Filter utg.vtn,Karlskoga,10/10/2024,Outlet,October,2024,Oct-24,196.0000,0.0336,0.4704,0.0380,0.5320,0.0240,0.3360,n.a.,0.1987,0.2267,0.3920,4.2570,2.5290,29.3800,27.5600,25.1300,25.0300,1.3430,1.3450,0.1915,0.4566
39,10/10 kärret,Karlskoga,10/10/2024,Unknown,October,2024,Oct-24,169.0000,0.0290,0.4060,0.0200,0.2800,n.a.,0.0000,0.0405,0.2037,0.2830,0.2764,19.7600,19.3500,37.0100,37.6300,17.2600,18.2500,2.0860,2.2590,0.1886,n.a.
40,A sektion 10/10,Karlskoga,10/10/2024,Tank,October,2024,Oct-24,161.0000,0.0361,0.5054,0.0300,0.4200,n.a.,0.0000,n.a.,0.1867,0.2019,0.2841,3.5230,1.5240,21.6300,20.3900,18.1100,18.8600,0.8773,0.8586,0.2425,0.0382
41,B sekt.,Karlskoga,10/10/2024,Tank,October,2024,Oct-24,172.0000,0.0395,0.5530,0.0260,0.3640,n.a.,0.0000,n.a.,0.1824,0.1938,0.3187,1.1570,0.8263,21.0900,21.3400,19.9400,20.5100,0.5036,0.5041,0.1769,0.0374
42,10/10 Romb. ,Karlskoga,10/10/2024,Egg room,October,2024,Oct-24,245.0000,0.0390,0.5460,0.0430,0.6020,n.a.,0.0000,n.a.,0.2090,0.3054,0.5072,1.0000,-0.0313,28.2200,27.5200,27.2200,27.5500,0.3999,0.4678,41.6635,0.0425
51,Tråg,Sundsvall,07/02/2024,Tank,July ,2024,Jul-24,62.0000,0.0076,0.1064,n.a.,0.0000,n.a.,0.0000,n.a.,0.0362,0.0657,0.1518,13.5400,12.9800,20.0000,20.6300,6.4560,7.6500,1.8440,2.2910,0.1610,0.1770
54,Inkommande  ,Sundsvall,07/02/2024,Inlet,July ,2024,Jul-24,63.0000,0.0056,0.0784,0.0240,0.3360,n.a.,0.0000,n.a.,0.0348,0.0578,0.1510,6.6310,5.4080,13.2500,12.0700,6.6170,6.6640,0.1351,0.1797,102.5947,0.1552
57,Tråg,Sundsvall,07/09/2024,Tank,July ,2024,Jul-24,64.0000,0.0086,0.1204,0.0220,0.3080,n.a.,0.0000,n.a.,0.0355,0.0464,0.1535,8.6220,7.1520,15.3700,14.1400,6.7520,6.9920,0.3850,0.5631,0.1845,0.2290
60,Inkommande  ,Sundsvall,07/09/2024,Inlet,July ,2024,Jul-24,62.0000,0.0069,0.0966,0.0240,0.3360,n.a.,0.0000,n.a.,0.0358,0.0576,0.1530,5.9660,5.4740,12.7500,12.3500,6.7840,6.8790,0.1410,0.1578,42.3511,0.1620
63,Tråg,Sundsvall,07/16/2024,Tank,July ,2024,Jul-24,63.0000,n.a.,0.0000,0.0230,0.3220,n.a.,0.0000,0.0243,0.0506,0.0599,0.2146,7.8670,6.6330,14.6500,13.5000,6.7870,6.8680,0.4047,0.4285,0.3974,n.a.
66,Inkommande  ,Sundsvall,07/16/2024,Inlet,July ,2024,Jul-24,63.0000,n.a.,0.0000,0.0250,0.3500,n.a.,0.0000,n.a.,0.0482,0.0601,0.2140,6.7850,4.6490,13.5700,11.5300,6.7880,6.8860,0.2889,0.1800,0.2257,n.a.
69,Tråg,Sundsvall,07/23/2024,Tank,July ,2024,Jul-24,65.0000,0.0098,0.1372,0.0230,0.3220,n.a.,0.0000,n.a.,0.0374,0.0617,0.1560,6.3160,6.7020,13.2300,13.7500,6.9140,7.0450,0.2777,0.4139,0.2134,0.1132
72,Inkommande  ,Sundsvall,07/23/2024,Inlet,July ,2024,Jul-24,64.0000,0.0055,0.0770,0.0240,0.3360,n.a.,0.0000,n.a.,0.0350,0.0593,0.1572,5.9510,5.4250,12.8500,12.3900,6.6890,6.9690,0.1584,0.1759,0.6325,0.1986
75,Tråg,Sundsvall,07/30/2024,Tank,July ,2024,Jul-24,63.0000,0.0081,0.1134,0.0240,0.3360,n.a.,0.0000,n.a.,0.0357,0.0672,0.1555,7.1010,12.3300,14.0100,19.0900,6.9070,6.7570,0.3187,0.5729,0.1163,0.1927
78,Inkommande  ,Sundsvall,07/30/2024,Inlet,July ,2024,Jul-24,64.0000,0.0063,0.0882,0.0240,0.3360,n.a.,0.0000,n.a.,0.0352,0.0633,0.1556,6.7200,5.5920,13.5300,12.4500,6.8130,6.8590,0.1357,0.1619,0.9061,0.1838
81,Tråg,Sundsvall,08/06/2024,Tank,August,2024,Aug-24,61.0000,0.0075,0.1050,0.0240,0.3360,n.a.,0.0000,n.a.,0.0357,0.0568,0.1707,5.7450,6.4460,12.5200,13.4500,6.7780,7.0010,0.2046,0.3000,0.1953,0.1912
84,Inkommande  ,Sundsvall,08/06/2024,Inlet,August,2024,Aug-24,60.0000,0.0051,0.0714,0.0220,0.3080,n.a.,0.0000,n.a.,0.0346,0.0580,0.1583,7.0530,5.3680,13.8800,12.3400,6.8320,6.9690,0.1163,0.1535,40.3942,0.1890
87,Tråg,Sundsvall,08/13/2024,Tank,August,2024,Aug-24,62.0000,0.0022,0.0308,0.0440,0.6160,n.a.,0.0000,0.0494,0.0338,0.0780,0.1622,7.0160,8.7200,14.1760,16.0140,7.1600,7.2920,0.2044,0.3532,0.6771,0.4188
90,Inkommande  ,Sundsvall,08/13/2024,Inlet,August,2024,Aug-24,62.0000,0.0018,0.0252,0.0220,0.3080,n.a.,0.0000,n.a.,0.0177,0.0391,0.0821,2.9520,2.9860,6.6230,6.7500,3.6710,3.7640,0.0000,0.0000,1.3917,0.0879
93,Tråg,Sundsvall,08/20/2024,Tank,August,2024,Aug-24,61.0000,0.0082,0.1148,0.0230,0.3220,n.a.,0.0000,n.a.,0.0360,0.0564,0.1538,6.9830,9.8160,13.7300,16.5900,6.7520,6.7740,0.1989,0.4312,0.1799,0.1162
96,Inkommande  ,Sundsvall,08/20/2024,Inlet,August,2024,Aug-24,61.0000,0.0066,0.0924,0.0260,0.3640,n.a.,0.0000,n.a.,0.0353,0.0579,0.1562,5.8010,6.2700,12.7700,13.2700,6.9670,6.9990,0.1504,0.1765,0.5344,0.1705
99,Tråg,Sundsvall,08/27/2024,Tank,August,2024,Aug-24,61.0000,n.a.,0.0000,0.0240,0.3360,n.a.,0.0000,n.a.,0.0644,0.0595,0.2675,7.3420,6.7420,10.2100,9.6730,2.8730,2.9320,0.1166,0.1156,0.7439,0.1513
102,Inkommande  ,Sundsvall,08/27/2024,Inlet,August,2024,Aug-24,60.0000,n.a.,0.0000,0.0270,0.3780,n.a.,0.0000,n.a.,0.0547,0.0597,0.2536,7.5250,6.4310,10.4700,9.3930,2.9420,2.9620,0.1798,0.1422,1.4965,0.1574
105,Tråg,Sundsvall,09/03/2024,Tank,September ,2024,Sep-24,58.0000,n.a.,0.0000,0.0220,0.3080,n.a.,0.0000,n.a.,0.0544,0.0527,0.2560,7.2190,6.4700,9.9870,9.2030,2.7680,2.7330,0.1260,0.0863,1.4641,0.1514
108,Inkommande  ,Sundsvall,09/03/2024,Inlet,September ,2024,Sep-24,62.0000,0.0027,0.0378,0.0240,0.3360,n.a.,0.0000,n.a.,0.0497,0.0550,0.2599,6.7380,6.5240,9.8940,9.3290,3.1560,2.8050,0.0875,0.1255,0.9095,0.1520
111,Tråg,Sundsvall,09/13/2024,Tank,September ,2024,Sep-24,60.0000,0.0042,0.0588,0.0240,0.3360,n.a.,0.0000,n.a.,0.0525,0.0583,0.2542,7.0660,6.4770,9.8560,9.2020,2.7900,2.7250,0.0763,0.0906,2.8679,0.1507
114,Inkommande  ,Sundsvall,09/13/2024,Inlet,September ,2024,Sep-24,59.0000,0.0058,0.0812,0.0250,0.3500,n.a.,0.0000,n.a.,0.0512,0.0579,0.2548,6.7990,4.0740,11.8900,5.7140,5.0950,1.6400,0.1832,0.0000,27.7700,0.1502
117,Tråg,Sundsvall,09/17/2024,Tank,September ,2024,Sep-24,58.0000,0.0043,0.0602,0.0250,0.3500,n.a.,0.0000,0.0254,0.0507,0.0588,0.2328,5.8090,5.8840,8.8490,8.8120,3.0400,2.9280,0.0689,0.0766,1.0846,0.1549
120,Inkommande  ,Sundsvall,09/17/2024,Inlet,September ,2024,Sep-24,57.0000,0.0081,0.1134,0.0240,0.3360,n.a.,0.0000,n.a.,0.0499,0.0592,0.2284,6.1440,5.7810,9.1760,8.8130,3.0320,3.0320,0.1803,0.1889,2.9549,0.1548
123,Tråg,Sundsvall,09/26/2024,Tank,September ,2024,Sep-24,57.0000,0.0086,0.1204,0.0250,0.3500,n.a.,0.0000,n.a.,0.0496,0.0589,0.2245,4.6030,4.9370,7.8510,8.2140,3.2480,3.2770,0.0667,0.0783,65.4586,0.1529
126,Inkommande  ,Sundsvall,09/26/2024,Inlet,September ,2024,Sep-24,56.0000,0.0061,0.0854,0.0230,0.3220,n.a.,0.0000,n.a.,0.0477,0.0609,0.2240,4.5660,5.0120,8.0430,8.4090,3.4780,3.3970,0.2196,0.2579,4.1011,0.1548
131, Bergeforssen fiskodling Tråg 1/10,Sundsvall,10/01/2024,Tank,October,2024,Oct-24,56.0000,0.0081,0.1134,0.0240,0.3360,n.a.,0.0000,n.a.,0.0474,0.0596,n.a.,6.1090,6.2420,9.4010,9.3670,3.2920,3.1250,0.0700,0.1017,10.7953,0.1687
131 (2), Bergeforssen fiskodling Inkommande 1/10,Sundsvall,10/01/2024,Inlet,October,2024,Oct-24,55.0000,0.0081,0.1134,0.0250,0.3500,n.a.,0.0000,n.a.,0.0466,0.0596,n.a.,6.5570,6.2060,9.8160,9.3600,3.2600,3.1540,0.1287,0.0788,16.0218,0.0896
134,Tråg,Sundsvall,10/09/2024,Tank,October,2024,Oct-24,58.0000,0.0138,0.1932,0.0240,0.3360,n.a.,0.0000,n.a.,0.0477,0.0590,n.a.,6.1660,6.2910,9.1540,9.3010,2.9880,3.0100,0.0882,0.0991,7.0871,0.1572
137,Inkommande  ,Sundsvall,10/09/2024,Inlet,October,2024,Oct-24,55.0000,0.0066,0.0924,0.0240,0.3360,n.a.,0.0000,n.a.,0.0423,0.0555,n.a.,9.8130,6.7730,10.1800,9.9660,0.3684,3.1930,0.2378,0.2507,1.6295,0.1481
139,Filter hus,Umea,06/18/2024,Inlet,June,2024,Jun-24,29.0000,0.0051,0.0714,n.a.,0.0000,n.a.,0.0000,n.a.,0.0338,0.0403,n.a.,8.6960,8.1760,11.7600,11.0300,3.0600,2.8560,0.1435,0.1290,1.4210,0.1834
141,C-damm III,Umea,06/18/2024,Tank,June,2024,Jun-24,29.0000,0.0043,0.0602,n.a.,0.0000,n.a.,0.0000,n.a.,0.0330,0.0416,n.a.,7.0230,5.7080,13.6200,12.4100,6.6010,6.6980,0.1522,0.1507,0.9471,0.1779
144,Råvatten filter hus ,Umea,06/25/2024,Inlet,June,2024,Jun-24,28.0000,0.0065,0.0910,n.a.,0.0000,n.a.,0.0000,n.a.,0.0321,0.0384,n.a.,6.1120,5.7760,12.4100,12.4700,6.3020,6.6970,0.1580,0.1698,0.9569,0.1712
146,C-damm III,Umea,06/25/2024,Tank,June,2024,Jun-24,28.0000,0.0100,0.1400,n.a.,0.0000,n.a.,0.0000,n.a.,0.0362,0.0395,n.a.,6.1400,5.6520,12.3800,12.1700,6.2390,6.5150,0.1689,0.1417,5.8042,0.1727
149,Råvatten filter hus ,Umea,07/03/2024,Inlet,July ,2024,Jul-24,28.0000,0.0059,0.0826,n.a.,0.0000,n.a.,0.0000,n.a.,0.0315,0.0395,n.a.,6.0030,5.4580,12.4200,12.1700,6.4120,6.7170,0.1498,0.1644,163.4098,0.1776
151,C-damm III,Umea,07/03/2024,Tank,July ,2024,Jul-24,28.0000,0.0096,0.1344,0.0200,0.2800,0.0258,0.3612,0.0252,0.0315,0.0402,n.a.,5.8470,5.5030,12.0800,12.0000,6.2300,6.4970,0.1824,0.1699,0.4585,0.1380
154,Råvatten filter hus ,Umea,07/09/2024,Inlet,July ,2024,Jul-24,29.0000,0.0060,0.0840,n.a.,0.0000,n.a.,0.0000,n.a.,0.0323,0.0415,n.a.,6.5030,5.5200,12.5500,11.9200,6.0490,6.3960,0.1095,0.1404,3.4635,0.1797
157,C-damm III,Umea,07/09/2024,Tank,July ,2024,Jul-24,30.0000,0.0110,0.1540,n.a.,0.0000,n.a.,0.0000,n.a.,0.0324,0.0430,n.a.,6.4250,5.8320,12.3300,11.9100,5.9060,6.0760,0.1370,0.1624,3.4415,0.1495
160,Råvatten filter hus ,Umea,07/16/2024,Inlet,July ,2024,Jul-24,34.0000,0.0088,0.1232,n.a.,0.0000,n.a.,0.0000,n.a.,0.0342,0.0463,n.a.,5.7420,5.6730,11.6000,11.7900,5.8540,6.1140,0.1532,0.1877,3.7270,0.1254
163,C-damm III,Umea,07/16/2024,Tank,July ,2024,Jul-24,33.0000,0.0067,0.0938,n.a.,0.0000,n.a.,0.0000,n.a.,0.0341,0.0456,n.a.,6.3780,5.8040,12.2900,11.8000,5.9070,5.9950,0.1799,0.1836,15.3138,0.1770
166,Råvatten filter hus ,Umea,07/23/2024,Inlet,July ,2024,Jul-24,33.0000,0.0078,0.1092,0.0210,0.2940,n.a.,0.0000,0.0255,0.0343,0.0456,n.a.,5.9860,5.3500,11.6700,11.2800,5.6830,5.9310,0.1307,0.1364,0.7154,n.a.
169,C-damm III,Umea,07/23/2024,Tank,July ,2024,Jul-24,33.0000,0.0099,0.1386,n.a.,0.0000,n.a.,0.0000,n.a.,0.0346,0.0445,n.a.,5.4070,6.3520,12.2500,12.9400,6.8430,6.5860,0.1690,0.2349,n.a.,0.2190
172,Råvatten filter hus ,Umea,07/30/2024,Inlet,July ,2024,Jul-24,31.0000,0.0089,0.1246,n.a.,0.0000,n.a.,0.0000,n.a.,0.0363,0.0468,n.a.,6.7800,5.9360,12.6600,11.8300,5.8750,5.8960,0.1225,0.1308,116.2476,0.1765
175,C-damm,Umea,07/30/2024,Tank,July ,2024,Jul-24,34.0000,0.0074,0.1036,n.a.,0.0000,n.a.,0.0000,n.a.,0.0371,0.0452,n.a.,5.2940,5.9470,11.4100,12.1400,6.1170,6.1980,0.2383,0.2574,2.2484,0.1972
178,Råvatten filter hus ,Umea,08/06/2024,Inlet,August,2024,Aug-24,31.0000,0.0071,0.0994,n.a.,0.0000,n.a.,0.0000,n.a.,0.0344,0.0424,n.a.,6.4180,5.3350,12.2300,11.3200,5.8150,5.9870,0.1232,0.1341,190.5245,0.2297
181,C-damm III,Umea,08/06/2024,Tank,August,2024,Aug-24,34.0000,0.0101,0.1414,n.a.,0.0000,n.a.,0.0000,n.a.,0.0349,0.0418,n.a.,8.6440,8.3070,11.5300,11.1500,2.8830,2.8440,0.1320,0.1458,14.2808,0.2594
184,Råvatten filter hus ,Umea,08/13/2024,Inlet,August,2024,Aug-24,32.0000,0.0093,0.1302,n.a.,0.0000,n.a.,0.0000,n.a.,0.0343,0.0392,n.a.,8.5310,8.3180,11.3100,11.0800,2.7790,2.7590,0.1094,0.1517,0.6202,0.2349
187,C-damm III,Umea,08/13/2024,Tank,August,2024,Aug-24,32.0000,0.0085,0.1190,n.a.,0.0000,n.a.,0.0000,n.a.,0.0335,0.0424,n.a.,9.3940,8.6130,12.1700,11.3600,2.7800,2.7500,0.1231,0.1426,1.0509,0.2457
190,Råvatten filter hus ,Umea,08/20/2024,Inlet,August,2024,Aug-24,33.0000,0.0071,0.0994,n.a.,0.0000,n.a.,0.0000,n.a.,0.0330,0.0411,n.a.,7.5090,7.2220,10.4900,10.1900,2.9850,2.9710,0.0980,0.1095,1.1592,0.2001
193,C-damm III,Umea,08/20/2024,Tank,August,2024,Aug-24,33.0000,0.0094,0.1316,n.a.,0.0000,n.a.,0.0000,n.a.,0.0340,0.0412,n.a.,8.1270,7.3860,11.1400,10.3500,3.0100,2.9640,0.0861,0.1136,10.9339,0.1964
196,Råvatten filter hus ,Umea,08/27/2024,Inlet,August,2024,Aug-24,33.0000,0.0087,0.1218,n.a.,0.0000,n.a.,0.0000,n.a.,0.0347,0.0459,n.a.,8.2310,7.4130,11.1900,10.2600,2.9620,2.8500,0.1183,0.1334,3.2522,0.2061
199,C-damm III,Umea,08/27/2024,Tank,August,2024,Aug-24,32.0000,0.0089,0.1246,n.a.,0.0000,n.a.,0.0000,n.a.,0.0348,0.0429,n.a.,7.8540,7.2810,10.8500,10.2600,2.9920,2.9800,0.1203,0.1383,92.5435,0.2164
202,Råvatten filter hus ,Umea,09/06/2024,Inlet,September ,2024,Sep-24,33.0000,0.0088,0.1232,n.a.,0.0000,n.a.,0.0000,n.a.,0.0328,0.0426,n.a.,7.3020,6.4200,10.4700,9.5700,3.1670,3.1500,0.0792,0.1021,0.6727,0.2952
205,C-damm III,Umea,09/06/2024,Tank,September ,2024,Sep-24,34.0000,0.0092,0.1288,n.a.,0.0000,n.a.,0.0000,n.a.,0.0326,0.0421,n.a.,6.5280,6.2030,9.9080,9.4090,3.3800,3.2060,0.0748,0.0883,4.5032,0.2116
208,Råvatten filter hus ,Umea,09/12/2024,Inlet,September ,2024,Sep-24,34.0000,0.0089,0.1246,n.a.,0.0000,n.a.,0.0000,n.a.,0.0332,0.0435,n.a.,6.7420,5.7520,10.1700,9.0860,3.4240,3.3340,0.0865,0.0858,3.9438,0.1792
211,C-damm III,Umea,09/12/2024,Tank,September ,2024,Sep-24,34.0000,0.0118,0.1652,n.a.,0.0000,n.a.,0.0000,n.a.,0.0339,0.0444,n.a.,5.5470,5.6630,8.8770,8.9800,3.3300,3.3170,0.0900,0.0950,2.7603,0.1598
214,Råvatten filter hus ,Umea,09/19/2024,Inlet,September ,2024,Sep-24,35.0000,0.0083,0.1162,n.a.,0.0000,n.a.,0.0000,n.a.,0.0335,0.0444,n.a.,6.2800,5.4500,9.7060,8.7930,3.4260,3.3430,0.0945,0.0925,0.9048,0.1581
217,C-damm III,Umea,09/19/2024,Tank,September ,2024,Sep-24,35.0000,0.0090,0.1260,n.a.,0.0000,n.a.,0.0000,n.a.,0.0334,0.0440,n.a.,6.5470,5.3970,9.8870,8.7890,3.3410,3.3920,0.0817,0.1004,72.3732,0.1672
220,Råvatten filter hus ,Umea,09/26/2024,Inlet,September ,2024,Sep-24,35.0000,0.0072,0.1008,n.a.,0.0000,n.a.,0.0000,n.a.,0.0335,0.0463,n.a.,4.9620,4.9730,8.3640,8.3980,3.4020,3.4240,0.0783,0.1020,0.8516,0.1418
223,C-damm III,Umea,09/26/2024,Tank,September ,2024,Sep-24,35.0000,0.0073,0.1022,n.a.,0.0000,n.a.,0.0000,n.a.,0.0332,0.0454,n.a.,4.9110,4.8770,8.3490,8.3280,3.4370,3.4520,0.0647,0.0886,2.5979,0.1019
226,Råvatten filter hus ,Umea,10/04/2024,Inlet,October,2024,Oct-24,37.0000,0.0200,0.2800,0.1800,0.0540,n.a.,0.0000,n.a.,-5.0700,1.3400,n.a.,9.8780,6.1670,13.4500,10.0700,3.5690,3.9000,0.0842,0.0000,1.0599,0.1456
229,C-damm III,Umea,10/04/2024,Tank,October,2024,Oct-24,37.0000,n.a.,0.0000,0.1500,0.0450,n.a.,0.0000,n.a.,-5.6500,1.2200,n.a.,7.9570,6.2180,11.7400,10.1300,3.7810,3.9160,0.0000,0.0326,4.2341,0.1269
235,Råvatten luftaren,Umea,10/10/2024,Inlet,October,2024,Oct-24,37.0000,0.0200,0.0156,0.2100,0.0630,n.a.,0.0000,n.a.,-5.6900,1.2900,n.a.,8.7740,6.7560,12.4000,10.6300,3.6270,3.8710,0.1124,0.0000,0.6607,0.1745
238,C-damm III,Umea,10/10/2024,Tank,October,2024,Oct-24,36.0000,0.0300,0.0234,0.2000,0.0600,n.a.,0.0000,n.a.,-5.6200,1.2400,n.a.,8.4840,6.4530,12.2200,10.3400,3.7310,3.8900,0.0695,0.0436,118.8849,0.1729
241,Råvatten luftaren,Umea,10/18/2024,Inlet,October,2024,Oct-24,18.3300,0.0300,0.0234,0.2100,0.0630,n.a.,0.0000,n.a.,-5.6200,1.1600,n.a.,12.4800,10.3300,15.4700,13.4400,2.9840,3.1150,0.1258,0.1174,72.3916,0.2780
244,C-damm III,Umea,10/18/2024,Tank,October,2024,Oct-24,34.0000,0.0300,0.0234,0.2100,0.0630,n.a.,0.0000,n.a.,-5.5700,1.2000,n.a.,12.2000,10.9500,15.1800,14.1000,2.9800,3.1520,0.1460,0.1454,40.9847,0.2690
247,Råvatten luftaren,Umea,10/25/2024,Inlet,October,2024,Oct-24,34.0000,n.a.,0.0000,0.2000,0.0600,n.a.,0.0000,n.a.,-5.6300,1.1500,n.a.,10.0100,9.2070,13.2200,12.5500,3.2060,3.3450,0.1289,0.1407,18.6430,0.2269
250,C-damm III,Umea,10/25/2024,Tank,October,2024,Oct-24,34.0000,0.0400,0.0312,0.2200,0.0660,n.a.,0.0000,n.a.,-5.6100,1.1700,n.a.,10.1400,8.9240,13.3300,12.2400,3.1930,3.3210,0.1147,0.1095,1.6399,0.0294
253,Luftaren,Umea,11/07/2024,Inlet,November,2024,Nov-24,35.0000,0.0300,0.0234,0.2500,0.0750,n.a.,0.0000,n.a.,-5.6700,1.2200,n.a.,8.4930,7.1240,12.0900,10.8200,3.5950,3.7010,0.1181,0.0354,0.9658,0.1727
256,Smolthall,Umea,11/07/2024,Tank,November,2024,Nov-24,35.0000,0.0300,0.0234,0.2500,0.0750,n.a.,0.0000,n.a.,-5.6600,1.2200,n.a.,8.8200,6.6620,12.4100,10.3800,3.5920,3.7140,0.0774,0.0467,0.1734,0.1783
259,Luftaren,Umea,11/14/2024,Inlet,November,2024,Nov-24,35.0000,0.0300,0.0234,0.2500,0.0750,n.a.,0.0000,n.a.,-5.7200,1.1800,n.a.,9.1250,6.9240,12.6500,10.6000,3.5260,3.6800,0.0903,0.0000,266.9822,0.1829
262,Smolthall,Umea,11/14/2024,Tank,November,2024,Nov-24,18.4500,0.0500,0.0390,0.2600,0.0780,n.a.,0.0000,n.a.,-5.6300,1.2200,n.a.,8.2890,6.7660,11.8900,10.5100,3.6050,3.7430,0.0000,0.0000,0.1255,0.1796
265,Luftaren,Umea,11/21/2024,Inlet,November,2024,Nov-24,36.0000,0.0400,0.0312,0.2700,0.0810,n.a.,0.0000,n.a.,-5.7200,1.2200,n.a.,7.2350,5.6750,10.9900,9.5490,3.7510,3.8740,0.1230,0.0368,42.8819,0.3612
268,Smolthall,Umea,11/21/2024,Tank,November,2024,Nov-24,37.0000,0.0500,0.0390,0.2800,0.0840,n.a.,0.0000,n.a.,-5.6700,1.2400,n.a.,8.3130,6.4470,12.2200,10.4800,3.9050,4.0360,0.0457,0.0000,0.0153,0.1470
271,Luftaren,Umea,11/28/2024,Inlet,November,2024,Nov-24,39.0000,0.0100,0.0078,0.2900,0.0870,n.a.,0.0000,n.a.,-5.5300,1.3500,n.a.,7.6620,6.3060,11.6200,10.3000,3.9590,3.9900,0.0436,0.0759,25.0021,0.1610
274,Smolthall,Umea,11/28/2024,Tank,November,2024,Nov-24,39.0000,0.0200,0.0156,0.2800,0.0840,n.a.,0.0000,n.a.,-5.5600,1.4500,n.a.,8.1300,6.3230,12.0700,10.3000,3.9410,3.9730,0.0000,0.0413,78.8225,0.1580
277,Luftaren,Umea,12/05/2024,Inlet,December ,2024,Dec-24,41.0000,0.0200,0.0156,0.2800,0.0840,n.a.,0.0000,n.a.,-5.5700,1.3200,n.a.,7.6250,6.2360,11.6100,10.3100,3.9820,4.0740,0.0363,0.0000,0.0321,0.1610
280,Smolthall,Umea,12/05/2024,Tank,December ,2024,Dec-24,42.0000,n.a.,0.0000,0.2700,0.0810,n.a.,0.0000,n.a.,-5.5600,1.3200,n.a.,8.8150,7.0570,12.8600,11.1400,4.0480,4.0840,0.0384,0.0385,0.0298,0.1560
